genre,enteredCharts,twitterFollowers,artistSongs,labelSongs,daysAfterRelease
Deep House,1,1508,117,99,51
Trance,0,43320,495,781,16
Progressive House,0,7,178,1680,20
House,0,1824,538,280,6
Trance,0,27,153,28,23
Deep House,0,766,163,549,16
House,0,1767,21,17,6
Techno,0,115,27,11,20
Deep House,0,310,90,74,12
House,0,255,82,53,10
Progressive House,0,117,17,3694,2
Trance,0,265,37,16,9
Deep House,0,5141,80,61,9
Deep House,0,87,20,223,9
Deep House,0,2889,439,498,13
Techno,0,46,59,33,13
Techno,0,6569,92,390,9
Trance,0,4152,114,219,30
Deep House,0,253,131,20,2
Deep House,0,354,7,23,25
House,0,1374,70,10,24
Techno,0,2,176,1867,6
Techno,0,420,181,39,16
House,0,313,27,15,19
Progressive House,1,1465,49,13,16
Progressive House,0,142,22,571,6
Techno,0,339,13,39,9
Techno,0,1,23,57,6
House,0,2684,99,92,2
House,0,19,258,8,2
Trance,0,638,44,1249,9
House,0,1076,132,19,20
House,0,317,111,1030,25
Techno,0,2256,150,1093,16
Deep House,0,157,87,292,3
Techno,0,571,73,1319,9
House,0,6012,142,156,10
Progressive House,0,222,67,16231,13
Techno,0,1567,131,310,16
Trance,0,28,76,1680,13
Progressive House,0,507,34,340,2
Techno,0,3418,40,85,37
Techno,0,33689,161,489,30
House,0,6,602,855,20
Techno,0,291,133,439,27
Trance,0,81650,423,3694,23
Deep House,0,88,3,305,3
Trance,0,67853,418,3694,23
Techno,0,26,123,240,13
House,0,426,567,1071,10
Trance,0,732,92,351,37
Electro House,0,40198,32,8,16
Trance,0,69920,380,9110,20
Electro House,0,124,11,61,6
Progressive House,0,2285,30,1680,20
Deep House,0,276,67,1053,3
House,0,780414,257,4689,27
Progressive House,0,160,299,216,6
Techno,0,3702,282,89,39
House,0,1022,220,1308,27
Progressive House,0,12,285,553,34
House,1,2728,15,16,16
Deep House,0,130,27,36,9
Trance,0,107,68,1030,2
House,0,3851,146,120,18
Dubstep,0,3091,19,435,10
Progressive House,0,255,33,340,16
Trance,0,2488,84,3694,23
House,0,371,18,5809,0
Techno,0,1662,11,74,2
Techno,0,638,32,15,3
Deep House,0,2889,439,498,13
Progressive House,0,51,4,3282,0
Trance,0,452,55,20,9
Trance,1,5209,212,149,37
Progressive House,0,1911,8,2,34
Trance,0,694,197,3068,16
Progressive House,0,1020,183,31,16
Trance,0,6787,312,3694,9
Techno,0,61,76,996,19
Progressive House,0,2509,111,22,9
Techno,0,420,181,22,23
Trance,0,870,129,1108,2
Trance,0,377,25,16,2
House,1,1150,5,4,37
House,0,1277,19,174,21
Deep House,0,82,115,79,4
Techno,1,4281,190,622,58
Techno,0,122,95,236,23
Progressive House,0,3,39,553,6
Electro House,0,486363,315,392,6
House,0,328,24,91,13
Deep House,0,62,25,63,2
Electro House,0,1217,127,992,16
Deep House,0,16,206,170,6
Techno,0,3415,324,62,16
Electro House,0,8596417,46,2572,37
Deep House,0,177,32,549,16
Deep House,0,123,43,26,2
Electro House,0,635,10,3241,10
Techno,0,2,108,53,9
Dubstep,0,2295,52,905,12
Techno,0,5339,380,91,13
House,0,362,42,4,16
Deep House,0,3296,258,26,17
Deep House,0,2595,26,150,2
Trance,0,6,602,855,13
Techno,0,174,60,83,16
Progressive House,0,202,17,135,30
House,0,1388,166,1107,7
House,0,140,65,739,11
Deep House,1,462,98,150,65
Deep House,0,4428,53,56,6
Techno,1,1,84,622,37
House,0,17179,516,66,13
Progressive House,0,5419,28,107,16
House,0,46861,96,257,16
Deep House,0,8753,225,148,6
Techno,0,139,155,13,25
Trance,0,908,117,18,9
Progressive House,0,2879,50,123,9
Techno,0,1424,42,273,11
Progressive House,0,9,67,571,6
Electro House,0,15360,541,178,24
Trance,0,3551668,637,3827,20
Trance,0,169,41,352,30
Techno,0,581,155,6,16
House,0,522,17,1214,20
Deep House,0,748,99,516,20
Techno,0,6162,169,112,23
Electro House,0,10420,139,248,16
Trance,0,16496,238,1017,16
Deep House,0,464,51,4058,6
Trance,0,868,132,3694,9
House,0,2196,7,24,32
Progressive House,1,142752,213,685,10
Deep House,0,48,30,10,2
Progressive House,0,8746,65,120,20
Electro House,0,598982,226,120,39
Techno,0,1362,97,706,16
House,0,391,1,435,23
Trance,0,414,55,1108,16
House,0,82521,324,2112,23
House,0,115,134,480,20
Trance,0,69653,488,401,9
House,0,918,2133,1032,29
Electro House,0,257,499,1680,13
Progressive House,0,1020,183,31,16
Techno,0,1234,61,7,32
House,0,409,153,79,23
Techno,0,506,105,123,30
Deep House,0,102,197,16231,6
Trance,0,5913,224,219,37
Trance,0,1813,72,3694,9
Trance,0,77,56,15,16
House,0,9066,2,248,30
Progressive House,0,257,499,1680,20
Deep House,0,21,41,179,3
House,0,232,74,1032,11
Electro House,0,697,25,3282,21
Electro House,0,788,2,82,9
Electro House,0,5136,96,992,1
Progressive House,0,195,55,904,2
Deep House,1,15160,158,1676,51
Progressive House,0,3088,183,781,23
Deep House,0,26,22,47,2
House,0,3648,19,17,6
Deep House,0,63,13,5,16
House,0,6918,183,1711,20
Deep House,0,43,50,37,5
Techno,0,2426,105,706,16
Techno,0,659,360,11,11
House,0,4694,153,1032,28
Progressive House,1,2044,1,136,9
House,0,7047,13,5,4
Techno,0,5604,19,29,2
Trance,0,16496,238,1017,23
House,0,10,30,56,23
Progressive House,0,118,857,58,20
House,0,131,333,179,25
Deep House,0,242,7,12,16
Trance,1,181,10,14,51
Electro House,0,44301,28,1680,20
Electro House,0,3843,50,3241,10
House,0,918,2133,5809,0
Trance,0,870,129,219,16
House,0,2279,611,1032,25
House,0,39,36,480,23
House,0,3,3,3,16
Progressive House,0,153,19,25,16
House,0,260,35,1214,6
Trance,0,9857,343,219,16
House,0,138059,10,305,24
House,0,66,27,179,2
Deep House,0,44081,55,1171,20
House,0,118,19,1413,3
Deep House,0,940,231,218,2
Techno,0,31,101,83,16
Techno,0,539,44,17,13
Deep House,0,1892,64,3068,16
House,0,193,17,525,20
Deep House,0,22,12,12,23
House,0,27,89,17,12
Deep House,0,1327,87,235,21
House,1,1713,220,14,23
Electro House,0,2279,611,435,20
Trance,0,302,52,3694,9
