Gender,Amount,MPHover,Age,OutTown,OutState,Police
male,,17,44,1,0,local police
female,,9,21,1,0,state police
male,,12,24,1,0,local police
male,205,23,41,1,1,state police
female,145,17,54,1,0,local police
female,210,26,20,1,0,local police
male,120,17,21,1,1,state police
male,175,20,25,1,0,state police
male,,17,22,1,0,local police
male,,10,48,0,0,local police
male,,23,30,1,0,local police
male,125,15,43,1,1,state police
female,75,16,39,1,0,local police
female,195,22,31,1,0,local police
male,,12,55,0,0,local police
female,,15,68,1,1,state police
female,,19,84,1,0,local police
male,75,10,45,0,0,local police
male,115,14,18,0,0,local police
female,,12,35,0,0,local police
male,,11,62,0,0,local police
male,75,10,65,1,1,local police
male,,21,24,0,0,local police
male,125,15,36,1,1,local police
male,,12,29,1,0,local police
male,,9,24,1,0,state police
female,75,20,55,1,0,local police
male,250,30,41,1,0,local police
female,,15,31,1,0,local police
male,,13,26,1,0,local police
female,,12,45,1,0,local police
male,105,20,21,1,0,state police
male,,13,74,1,0,state police
male,50,26,20,1,0,local police
male,,10,35,0,0,local police
male,215,28,20,1,0,state police
male,,5,40,1,0,state police
female,230,28,60,1,1,local police
male,135,16,30,1,0,local police
male,,12,20,1,0,local police
female,,9,62,1,0,state police
male,125,15,20,1,1,state police
male,50,10,39,1,0,local police
male,80,13,20,1,0,local police
male,,21,18,0,0,local police
male,,10,68,1,1,local police
male,75,17,32,1,0,local police
male,75,16,23,1,0,state police
female,,17,27,1,0,local police
male,75,10,37,0,0,state police
female,100,15,27,1,1,local police
male,75,24,19,0,0,local police
female,75,17,54,0,0,local police
male,125,15,22,1,1,state police
male,,12,30,1,0,local police
male,,20,25,1,0,local police
male,,12,53,1,0,local police
female,115,14,52,1,0,local police
female,,9,80,1,1,state police
female,,12,31,1,1,local police
male,135,16,21,1,0,local police
male,155,18,40,1,0,state police
female,,14,19,1,1,local police
male,,15,51,1,0,local police
female,125,15,32,1,0,local police
male,,10,39,0,0,local police
male,175,20,39,0,0,local police
female,175,20,39,1,0,state police
female,,14,19,1,0,local police
male,175,20,37,1,0,local police
male,,17,56,1,0,local police
female,125,15,47,1,0,local police
female,,10,27,1,0,local police
male,75,15,53,1,0,local police
male,175,22,27,1,0,state police
female,75,10,45,1,1,local police
male,,12,50,1,0,local police
male,75,21,26,1,1,state police
male,90,14,38,1,0,local police
female,,10,17,0,0,local police
female,105,19,25,1,0,local police
male,95,12,71,1,1,state police
female,,13,31,1,0,local police
female,,10,23,1,0,local police
male,,10,45,1,0,local police
male,,15,17,0,0,local police
male,205,23,25,1,0,local police
female,,10,34,1,0,state police
male,,14,34,1,0,local police
male,50,10,28,1,1,local police
female,125,15,35,1,0,local police
female,155,18,18,1,0,local police
male,,10,70,1,0,local police
male,315,34,21,0,0,state police
female,375,40,22,1,1,local police
male,90,14,44,1,0,state police
male,95,23,36,1,0,state police
female,,15,18,1,0,local police
female,,18,48,0,0,local police
male,215,24,21,1,0,state police
male,75,10,23,1,1,state police
female,,4,30,1,0,local police
female,,15,31,1,0,local police
male,,11,29,1,0,local police
female,,14,24,1,0,local police
female,125,25,19,1,0,local police
male,195,27,68,1,0,local police
female,105,13,42,1,0,local police
male,75,10,38,1,0,local police
male,125,15,48,1,0,state police
male,120,17,22,1,0,local police
male,175,20,31,1,1,state police
male,75,10,20,1,0,state police
female,,10,26,1,1,state police
male,,12,34,0,0,local police
male,205,23,42,1,1,local police
male,140,19,24,0,0,local police
male,175,30,20,1,0,state police
female,,11,45,0,0,local police
male,,10,47,1,1,state police
female,,10,37,0,0,local police
male,75,10,47,1,0,state police
female,50,27,26,1,0,state police
male,,11,31,1,0,local police
male,75,9,32,1,0,state police
male,,23,50,1,0,local police
male,175,20,33,1,0,state police
male,,15,56,1,0,local police
male,75,25,22,1,0,local police
female,,11,31,1,0,local police
male,,15,20,0,0,local police
female,,10,40,1,0,local police
female,,10,56,0,0,local police
female,,15,31,1,0,local police
female,125,15,18,1,0,local police
female,,12,21,1,0,local police
female,,10,44,1,0,local police
male,,19,18,0,0,local police
male,75,10,24,1,1,local police
male,145,17,67,1,1,state police
male,115,14,27,1,0,local police
male,,13,33,1,0,local police
male,,9,27,0,0,state police
male,,13,39,1,0,local police
female,155,18,41,1,0,local police
male,175,20,40,1,0,state police
female,,15,52,1,0,local police
female,,10,53,0,0,local police
male,,10,37,1,1,local police
female,,15,29,1,0,local police
female,,23,62,1,0,local police
female,,19,23,1,0,local police
male,,16,37,1,1,local police
male,135,16,21,1,0,local police
female,,15,22,1,1,local police
male,75,15,36,1,1,state police
female,75,15,23,1,0,state police
female,,15,55,0,0,local police
female,245,22,40,1,1,state police
male,75,20,27,1,0,state police
male,125,15,29,1,0,local police
female,155,18,44,1,1,state police
male,,14,39,1,0,local police
male,,9,21,1,1,state police
female,75,14,35,1,0,local police
male,145,17,46,1,1,local police
male,205,23,18,1,0,local police
male,,20,60,1,0,local police
female,130,18,20,1,0,state police
male,75,10,69,1,1,state police
female,,15,63,1,0,local police
male,140,18,18,0,0,local police
female,,14,40,1,0,local police
female,115,29,23,1,0,local police
male,,16,25,1,0,local police
male,245,27,19,1,0,state police
female,,13,33,0,0,local police
male,75,10,29,0,0,local police
female,75,18,19,1,0,local police
male,,15,50,1,0,local police
male,110,25,21,1,0,state police
male,,13,18,0,0,local police
female,,10,18,0,0,local police
female,,11,64,1,0,local police
female,75,10,34,1,1,state police
male,150,20,22,1,1,state police
female,,16,49,0,0,local police
female,,14,28,0,0,local police
female,,12,49,0,0,local police
female,,10,22,1,0,local police
female,165,19,18,1,0,state police
female,75,10,22,1,0,state police
female,,15,30,1,0,local police
male,155,18,57,1,0,state police
female,75,14,21,1,0,local police
male,,9,50,1,1,state police
male,100,23,33,1,0,state police
male,145,27,19,1,0,state police
male,125,15,17,1,0,local police
female,,10,54,0,0,local police
female,,15,82,1,0,local police
male,145,17,48,1,0,state police
male,,12,21,1,0,state police
female,125,15,19,1,0,state police
male,165,19,30,1,1,state police
male,,10,18,1,0,local police
male,75,10,24,1,0,state police
female,125,15,35,1,0,state police
male,,23,49,1,0,local police
female,,15,44,0,0,local police
female,,15,32,1,0,state police
male,205,23,36,1,0,state police
male,,16,31,1,0,local police
male,75,10,26,0,0,local police
male,165,19,22,1,1,state police
male,95,12,25,1,0,local police
male,,14,17,1,1,local police
male,,15,36,1,0,local police
male,150,15,30,1,1,local police
male,,10,49,0,0,local police
female,,15,46,1,0,local police
male,,17,57,1,0,local police
female,200,25,25,1,1,state police
male,,14,19,0,0,local police
female,,12,51,1,0,local police
female,,15,47,1,0,local police
female,175,20,20,0,0,local police
male,125,15,68,1,0,local police
female,,15,50,1,0,local police
female,125,15,53,1,0,state police
male,135,16,23,0,0,local police
male,,10,58,1,0,local police
male,155,18,27,1,0,state police
female,,10,22,1,0,local police
female,,16,73,0,0,local police
male,75,22,23,1,0,local police
